Name of Scholarship,Deadline,Number of Awards,Maximum Amount,GPA,Affiliation,Age,College Program?,Category,Lic Type 1,Lic Type 2,Lic Type 3,Lic Type 4,Lic Type 5,Lic Type 6,Lic Type 7,Lic Type 8,Lic Type 9,Lic Type 10,,Female / Every / Minority ,Location,Link 
Calvin L Carrithers Aviation Scholarship,August 15,4,1000,,,Any,"University Aviation program students - Aviation, Management, etc",Flight training - students must blog about their experiences at least once a week,,Private ,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://www.globalair.com/scholarships/
Tinker Murdock Scholarship,TBD- Still running,1,7500,,,Any,"N/A, internships also available",Flight training - Young Eagle or Next Step applicant,,Private ,,,,,,,,,,,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Lawrence Ginocchio Aviation Scholarship,September 1,5,4500,,,Any,Full time or part time aviaiton management student ,Aviation Management Student - unclear if FT counts,,,,,,,,,,,,Every,Any,https://nbaa.org/professional-development/scholarships/ginocchio-aviation-scholarship/
Richard R. Harper Flight Training Scholarship,September 30,2,7500,,,Any,N/A - One Young Eagle & One Eagle Flight Student - 3.8 GPA+ with financial Need,Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
UAA Janice K. Barden Aviation Scholarship,August 11,5,1000,,,Any,"Yes, NBAA or UAA Member School - Aviation Program, Rising Sophomore or Higher",Flight Training/Educational Costs,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://nbaa.org/professional-development/scholarships/barden-aviation-scholarship/
Regional Air Cargo Carrier Association Scholarship,August 15,4,2500,,,Any,"Yes, accredited collegiate aviation program with 3.0",Tuition/Flight Training for Pilots & FAA Mechanics,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://www.raccaonline.org/about-2
"The Al Worden ""Endeavour"" Scholarship",October 15,2,7000,,,Any,"N/A, 15 - 18 Year Olds Only","N/A, Stem experience for 15 - 18 year olds in Huntsville, AL",,N/A,,N/A,N/A,N/A,N/A,,,,,WAI Student Members (and Teachers),Any,https://www.wai.org/scholarship-listings
2026 Wings for Val Foundation Lieutenant Commander Lyndsay Evans Memorial Scholarship,October 15,1,10000,,,Any,"N/A, flight training but not associated with a college necessarily",Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,WAI Members,Any (International as well),https://www.wai.org/scholarship-listings
Kylie Murray Memorial Women in Aviation International Scholarship,October 15,1,7500,,,Any,"N/A, but must demonstrate student athlete ability in high school, collegel, etc.",Flight Training,,N/A,,N/A,N/A,Multi-Engine Rating,MEI Only),,,,,WAI Members,Must complete at ATP Flight School,https://www.wai.org/scholarship-listings
The White Family Legacy Scholarship,October 15th,1,3000,,,Any,"N/A, Private Pilot, 100+ Hrs of flight time",Flight Training,,N/A,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,WAI Members,Any,https://www.wai.org/scholarship-listings
Juliana Turchetti Memorial Scholarship,October 15th,2,5000,,,Any,"N/A, Private Pilot",Flight Training,,N/A,,N/A,N/A,N/A,N/A,Seaplane Rating,,,,WAI Members,Any,https://www.wai.org/scholarship-listings
